C0274714,Adrenergic syndrome
C0235169,in my feelings
C0235169,Excitability
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0278061,completely bonkers
C0278061,Abnormal mental state
C0043096,lost 6 inches
C0043096,Body Weight decreased
C2939186,hadmeinmy feelings
C2939186,Disturbance in mood
C0002957,mad
C0002957,Anger
C0549249,Depressed Level of Consciousness
C0018681,headaches
C0018681,Headache
C0455769,"feeling something now,"
C0455769,Energy increased
C0000737,sharp pain
C0000737,Abdominal Pain
C0541854,tired
C0541854,Daytime sleepiness
C0556446,addicted
C0556446,Drug craving
C0009676,conundrum
C0009676,Confusion
C0424295,got me uppppp
C0424295,Hyperactive behavior
C0596170,binge
C0596170,Binge eating disorder
C1443060,ITS MAKING ME CRAZY
C1443060,Feeling abnormal
C1443060,feel weird
C1443060,Feeling abnormal
C2830004,sleepy
C2830004,Somnolence
C0232462,haven't eaten since like 9
C0232462,Decrease in appetite
C0549259,incr anxiety
C0549259,Anxiety aggravated
C0003467,anxiety
C0003467,Anxiety
C0917801,incapable of sleep
C0917801,Sleeplessness
C0152128,crash
C0152128,Drug withdrawal syndrome
C2830004,sleepy
C2830004,Somnolence
C0011570,Miss your Prozac does
C0011570,Mental Depression
C0344315,miserable
C0344315,Depressed mood
C0013144,intense yawns
C0013144,Drowsiness
C0043094,gaining weight
C0043094,Weight Gain
C0392674,so fucking tired
C0392674,Exhaustion
C2937350,Abnormal ejaculation
C0917801,still haven't slept
C0917801,Sleeplessness
C0541854,make you a zombie
C0541854,Daytime sleepiness
C0424166,need space &amp; to be alone
C0424166,Social fear
C0004936,I hate doctors and meds
C0004936,Mental disorders
C0232459,Stomach messed up
C0232459,Abnormal digestive tract function
C0233459,have no emotions
C0233459,Emotional disorder
C0541854,Daytime sleepiness
C0003469,ANXIOUS
C0003469,Anxiety Disorders
C0011570,depression
C0011570,Mental Depression
C0011551,a zombie
C0011551,Depersonalization
C0541941,make your dick hard
C0541941,Erection increased
C0233514,act fucking weird
C0233514,Abnormal behavior
C0240735,not myself
C0240735,Personality change
C0022107,pissed off about everything
C0022107,Irritable Mood
C0018801,heart attack
C0018801,Heart failure
C0040822,tremor
C0040822,Tremor
C0030193,pain
C0030193,Pain
C0455769,got me to the ceiling
C0455769,Energy increased
C0344320,gives me man vivid dreams
C0344320,Vivid dreams
C0003467,makes me question my whole life
C0003467,Anxiety
C0005586,#bipolar
C0005586,Bipolar Disorder
C0038435,stressed
C0038435,Stress
C0541854,sleep the day away
C0541854,Daytime sleepiness
C0022107,pissed off
C0022107,Irritable Mood
C0344315,depress
C0344315,Depressed mood
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0003467,anxiety
C0003467,Anxiety
C0021053,destroyed my #immunesystem
C0021053,Immune System Diseases
C0233407,very stupid
C0233407,Disorientation
C0087169,withdrawal
C0087169,Withdrawal Symptoms
C0013144,sleepy
C0013144,Drowsiness
C0018681,mild headache
C0018681,Headache
C0022107,sour mood
C0022107,Irritable Mood
C0013144,drowsy
C0013144,Drowsiness
C0344315,hurting
C0344315,Depressed mood
C0043094,the 10 lbs I gained
C0043094,Weight Gain
C0030193,hurting
C0030193,Pain
C0042963,puking
C0042963,Vomiting
C0455769,walking up and down
C0455769,Energy increased
C0087169,Discontinuation
C0087169,Withdrawal Symptoms
C1971624,not being able to eat
C1971624,Loss of appetite (finding)
C0013144,drowsy
C0013144,Drowsiness
C0004096,asthma
C0004096,Asthma
C0013146,HIGH
C0013146,Drug abuse
C3536794,feel like shit
C3536794,Sad mood
C0013144,drowsy
C0013144,Drowsiness
C0233794,screwing with my short term memory
C0233794,Memory impairment
C0027497,Nausea
C0410158,rotted my muscles out
C0410158,Muscle damage
C0270549,anxiety
C0270549,Generalized Anxiety Disorder
C0234238,pain
C0234238,Ache
C2830004,sleep all day
C2830004,Somnolence
C0037317,Got 1.5 hours of sleep
C0037317,Sleep disturbances
C2830004,fall asleep
C2830004,Somnolence
C0041657,knock me out
C0041657,Unconscious State
C0018524,feeling very differen
C0018524,Hallucinations
C0086769,panic
C0086769,Panic Attacks
C1971624,Loss of appetite (finding)
C0027497,Finna thrown up
C0027497,Nausea
C0022107,cranky
C0022107,Irritable Mood
C0003044,mosquito bites
C0003044,Animal bite
C0087169,withdrawal symptoms
C0087169,Withdrawal Symptoms
C0233401,feeling proper psycho
C0233401,Psychiatric symptom
C0085633,mood swings
C0085633,Mood swings
C0027497,sick
C0027497,Nausea
C0085632,soulless robot
C0085632,Indifferent mood
C0728899,groggy
C0728899,Intoxication
C0281774,psychosis
C0281774,Acute psychosis
C0002957,monster
C0002957,Anger
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0270458,bipolar
C0270458,Psychotic depression
C0013144,weak and woozy
C0013144,Drowsiness
C0600104,Obsessive compulsive behavior
C0039971,Thirst
C0027497,nausea
C0027497,Nausea
C0235146,pookied out
C0235146,Euphoric mood
C0235890,migraines
C0235890,Migraine aggravated
C0018681,headaches
C0018681,Headache
C0087169,Withdrawing
C0087169,Withdrawal Symptoms
C0022107,attitude
C0022107,Irritable Mood
C0151836,paranoid
C0151836,Paranoid reaction
C0037317,sleep problems
C0037317,Sleep disturbances
C2830004,Tired
C2830004,Somnolence
C0393760,insomnia
C0393760,Initial insomnia
C0424000,the only reason I haven't downed all these antidepressants is because sertraline overdose rarely results in death
C0424000,Feeling suicidal (finding)
C0003467,ANXIOUS
C0003467,Anxiety
C0423757,thins the skin
C0423757,Skin thinness
C0233414,attentive
C0233414,Disturbance in attention
C0235169,Excitability
C2830004,tired
C2830004,Somnolence
C0087169,rather kick heroin than Effexor
C0087169,Withdrawal Symptoms
C0917801,Wide awake
C0917801,Sleeplessness
C0085633,mood swings
C0085633,Mood swings
C0917801,WIDE AWAKE
C0917801,Sleeplessness
C0424295,hyper
C0424295,Hyperactive behavior
C0013144,a zombie
C0013144,Drowsiness
C0013144,falling asleep
C0013144,Drowsiness
C0232461,appetite on 10
C0232461,Increased appetite (finding)
C0012833,dizzy
C0012833,Dizziness
C0917799,fall asleep
C0917799,Hypersomnia
C0003467,anxious
C0003467,Anxiety
C0043096,Losing weight
C0043096,Body Weight decreased
C0344315,hurt
C0344315,Depressed mood
C0476273,Respiratory distress
C0038990,makes me sweat
C0038990,Sweating
C0027497,feel sick
C0027497,Nausea
C0728899,trippin
C0728899,Intoxication
C2830004,sleepy
C2830004,Somnolence
C0917801,insomnia
C0917801,Sleeplessness
C0220870,dizzy
C0220870,Lightheadedness
C0152128,come off
C0152128,Drug withdrawal syndrome
C0005586,mood swings
C0005586,Bipolar Disorder
C0235169,had me in my feelings
C0235169,Excitability
C0030318,shooting
C0030318,Panic
C0858899,concentration issues
C0858899,Attention concentration difficulty
C0013595,itching
C0013595,Eczema
C0700031,panic attacks
C0700031,Anxiety attack
C0021368,Inflamed bursa
C0021368,Inflammation
C0018790,heart attack
C0018790,Cardiac Arrest
C0037763,random shoulder spasms
C0037763,Spasm
C0012833,dizziness
C0012833,Dizziness
C0233514,crazy
C0233514,Abnormal behavior
C0027497,nauseous
C0027497,Nausea
C0234376,tremor
C0234376,Action Tremor
C0851444,sun allergy
C0851444,Allergic conditions
C0858899,Attention concentration difficulty
C0033975,Mental illness
C0033975,Psychotic Disorders
C0455769,Energy increased
C2830004,your brain is still sleepy
C2830004,Somnolence
C0234458,totally #weird
C0234458,Abnormal dreams
C0409497,Joint injury
C0278061,head feel very strange
C0278061,Abnormal mental state
C0234458,Abnormal dreams
C0344315,Depressed mood
C0233488,feeling like shit
C0233488,Feeling despair
C0338614,psychotic break
C0338614,Psychotic episode
C0003467,Anxiety
C0234458,"intense, emotionally-charged nightmares"
C0234458,Abnormal dreams
C0455769,got me to the ceiling
C0455769,Energy increased
C0030486,paraplegic
C0030486,Paraplegia
C0085633,mood swings
C0085633,Mood swings
C0043094,I look like a damn whale
C0043094,Weight Gain
C0030193,throbbing
C0030193,Pain
C2830004,take naps
C2830004,Somnolence
C0040822,acute tremor
C0040822,Tremor
C0022107,attitude
C0022107,Irritable Mood
C0917801,I can't remember the last time I slept
C0917801,Sleeplessness
C0232461,ate on it like crazy
C0232461,Increased appetite (finding)
C2830004,sleepy
C2830004,Somnolence
C0877225,bones brittle
C0877225,Bone density decreased
C0043012,awake
C0043012,Wakefulness
C0042963,vomiting
C0042963,Vomiting
C0043094,30lbs that I gained
C0043094,Weight Gain
C0520962,fingers hurt
C0520962,Pain localised
C0043094,making me fat
C0043094,Weight Gain
C0455769,worked out more
C0455769,Energy increased
C0018681,Headache
C0522172,feel drunk
C0522172,Feeling drunk
C0392674,Exhaustion
C0022107,highly irritated
C0022107,Irritable Mood
C0002957,the fucking roid rage
C0002957,Anger
C0003864,Arthritis
C0003864,Arthritis
C0455769,got me up
C0455769,Energy increased
C0220870,dizzy
C0220870,Lightheadedness
C0087169,withdrawals
C0087169,Withdrawal Symptoms
C0751295,wrecked my memory
C0751295,Memory Loss
C0004096,Asthma
C0086769,panic
C0086769,Panic Attacks
C2830004,tired
C2830004,Somnolence
C0087169,venlafaxine withdrawal
C0087169,Withdrawal Symptoms
C0039971,thirsty
C0039971,Thirst
C0003467,#anxiety
C0003467,Anxiety
C0232431,Cold sweat
C0553668,need to gulp air randomly
C0553668,Labored breathing
C0034634,rage
C0034634,Rage
C0233414,being distracted
C0233414,Disturbance in attention
C0043096,lose weight
C0043096,Body Weight decreased
C0003467,#anxiety
C0003467,Anxiety
C0917801,sleep-deprived
C0917801,Sleeplessness
C0042963,Vomiting
C0030193,pain
C0030193,Pain
C0549385,feel like I'm on fire
C0549385,Feeling of body temperature change
C0012833,dizzy
C0012833,Dizziness
C0751494,tremor
C0751494,Convulsive Seizures
C0043094,Weight Gain
C0043012,makes me more awake
C0043012,Wakefulness
C0455769,energetic
C0455769,Energy increased
C1963951,30-day adderall supply lasts me like a week
C1963951,Acute overdose
C0853348,Can't wait for fall so the mosquitoes will go away and I can stop using cortisone cream as lotion all over my legs
C0853348,Arthropod bite
C0085633,bipolar
C0085633,Mood swings
C0600104,neat freak mode
C0600104,Obsessive compulsive behavior
C0424000,I'm shooting
C0424000,Feeling suicidal (finding)
C0004936,Mental disorders
C0233973,painful b..
C0233973,Painful erection
C0043096,losing weight
C0043096,Body Weight decreased
C0041671,completely useless
C0041671,Attention Deficit Disorder
C0233514,behaviour problems
C0233514,Abnormal behavior
C0455769,got me to the ceiling
C0455769,Energy increased
C0233479,nicer
C0233479,Elevated mood
C0043094,Weight Gain
C0034634,angry
C0034634,Rage
C0030193,Pain
C0011551,zombie
C0011551,Depersonalization
C0030193,pain
C0030193,Pain
C0338908,anxiety
C0338908,Anxiety depression
C0151827,eyes burn from lack of blinking
C0151827,Eye pain
C0751494,seizure
C0751494,Convulsive Seizures
C0344315,depressed
C0344315,Depressed mood
C0016512,my foot feel worse
C0016512,Foot pain
C0344232,messing with my visio
C0344232,Blurred vision
C0002957,got me pissed
C0002957,Anger
C0149931,headache
C0149931,Migraine Disorders
C0235169,in my feelings
C0235169,Excitability
C0149931,Migraine Disorders
C0520962,terrible joint pain
C0520962,Pain localised
C0015672,zombie
C0015672,Fatigue
C0553721,reduced sweating
C0553721,Sweating decreased
C0233414,I can't work
C0233414,Disturbance in attention
C0694563,sleeping standing up
C0694563,Excessive daytime somnolence
C0917801,insomnia
C0917801,Sleeplessness
C0917801,sleep deprivation
C0917801,Sleeplessness
C0917801,awake until 8am
C0917801,Sleeplessness
C0424295,literally tweeted non stop from like 7pm to 8am the next day
C0424295,Hyperactive behavior
C0234238,Ache
C0012833,dizzy
C0012833,Dizziness
C0043096,Body Weight decreased
C0037320,night terrors
C0037320,Night Terrors
C0027497,vomiting
C0027497,Nausea
C0043094,gained 7 lbs
C0043094,Weight Gain
C0005586,bipolar
C0005586,Bipolar Disorder
C0917801,Keeps me up all night
C0917801,Sleeplessness
C0087169,withdrawals
C0087169,Withdrawal Symptoms
C0151911,Generalized Spasms
C0751295,screwing with my short term memory
C0751295,Memory Loss
C0030193,hurt really bad
C0030193,Pain
C0152128,withdrawals
C0152128,Drug withdrawal syndrome
C0037011,get my shoulder right
C0037011,Shoulder Pain
C0424295,hypomanic
C0424295,Hyperactive behavior
C0004936,#mentalhealth
C0004936,Mental disorders
C1263846,ADHD
C1263846,Attention deficit hyperactivity disorder
C0455769,I have 30 things I need to do by 5:00
C0455769,Energy increased
C0087169,withdrawal
C0087169,Withdrawal Symptoms
C0700031,Anxiety attack
C0013595,dry skin
C0013595,Eczema
C0022107,grumpy
C0022107,Irritable Mood
C0003467,anxiety
C0003467,Anxiety
C0011551,feel like you aren't a human anymore
C0011551,Depersonalization
C0043012,wide awake
C0043012,Wakefulness
C0424295,running up and down the stairs
C0424295,Hyperactive behavior
C0235169,in my feelings
C0235169,Excitability
C0041657,fainting
C0041657,Unconscious State
C0235169,got me to the ceiling
C0235169,Excitability
C0235169,in my feelings
C0235169,Excitability
C0600104,to do stuff
C0600104,Obsessive compulsive behavior
C0013144,drowsy
C0013144,Drowsiness
C1971624,suppressed appetite
C1971624,Loss of appetite (finding)
C0424295,hyperactive
C0424295,Hyperactive behavior
C0002957,rage
C0002957,Anger
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0553668,Labored breathing
C0235890,migraines
C0235890,Migraine aggravated
C0042571,vertigo
C0042571,Vertigo
C0520962,hip pain
C0520962,Pain localised
C0087169,Coming down
C0087169,Withdrawal Symptoms
C0556446,Drug craving
C0002957,Anger
C0002957,Anger
C0520962,pain
C0520962,Pain localised
C0235146,actually ecstasy
C0235146,Euphoric mood
C0085632,have no emotions
C0085632,Indifferent mood
C0278061,this mindset
C0278061,Abnormal mental state
C0003467,Anxiety
C0003467,Anxiety
C0027497,nauseous feeling
C0027497,Nausea
C0393760,insomniac
C0393760,Initial insomnia
C0455769,got me to the ceiling
C0455769,Energy increased
C0278061,about to lose my mind
C0278061,Abnormal mental state
C0424295,fucked up
C0424295,Hyperactive behavior
C0455769,got me on the ceiling
C0455769,Energy increased
C0013144,sleepy
C0013144,Drowsiness
C0541798,I'm up
C0541798,Early Awakening
C0541854,Daytime sleepiness
C0043012,wide awake
C0043012,Wakefulness
C0542476,sleep the day away
C0542476,Forgetfulness
C0917799,sleep
C0917799,Hypersomnia
C1262141,wrecking my sleep
C1262141,Poor quality sleep
C0233479,feel great
C0233479,Elevated mood
C0424166,the most socially awkward person alive
C0424166,Social fear
C0344320,man vivid dreams
C0344320,Vivid dreams
C0152128,I forgot to take Zoloft for like 2 days and now I'm getting brain zaps
C0152128,Drug withdrawal syndrome
C0917801,need sleep
C0917801,Sleeplessness
C0087169,withdrawal
C0087169,Withdrawal Symptoms
C0151821,accidentally double dosed
C0151821,Accidental overdose
C0087169,comedown
C0087169,Withdrawal Symptoms
C0085633,Mood swings
C2830004,drowsy
C2830004,Somnolence
C0231530,Muscle twitch
C0027497,vomity
C0027497,Nausea
C0043012,wake you up
C0043012,Wakefulness
C0000729,cramps
C0000729,Abdominal Cramps
C0553668,can't breathe
C0553668,Labored breathing
C0028084,nightmares
C0028084,Nightmares
C0392674,Exhaustion
C0234238,Ache
C0027497,nauseous
C0027497,Nausea
C0018681,hungover
C0018681,Headache
C0018681,headaches
C0018681,Headache
C0013144,slows me down
C0013144,Drowsiness
C0235169,got me to the ceiling
C0235169,Excitability
C0393761,awake in the middle of the night
C0393761,Middle insomnia
C0085632,it's feeling like the same thing
C0085632,Indifferent mood
C1971624,lost their appetite
C1971624,Loss of appetite (finding)
C0455769,got me to the ceiling
C0455769,Energy increased
C0043094,gain more weight
C0043094,Weight Gain
C0086769,panic attacks
C0086769,Panic Attacks
C0015672,fall asleep
C0015672,Fatigue
C0022107,makes me an asshole
C0022107,Irritable Mood
C0851444,allergic reaction
C0851444,Allergic conditions
C0087169,an adderall crash
C0087169,Withdrawal Symptoms
C0497364,itchy rash
C0497364,Localized rash
C0278061,trippin
C0278061,Abnormal mental state
C0455769,like a caffeine overdose
C0455769,Energy increased
C0917801,terrified to fall asleep
C0917801,Sleeplessness
C0087169,withdrawal
C0087169,Withdrawal Symptoms
C0028643,a damn zombie
C0028643,Numbness
C0917801,I was up at 6 am
C0917801,Sleeplessness
C0038999,swelling
C0038999,Swelling
C2242996,Has tingling sensation
C0000737,Abdominal Pain
C0240735,makes me a different person
C0240735,Personality change
C0087169,come down
C0087169,Withdrawal Symptoms
C0003467,anxiety
C0003467,Anxiety
C0087169,my adderall got cut in half and now I'm dying
C0087169,Withdrawal Symptoms
C0087169,withdrawal symptoms
C0087169,Withdrawal Symptoms
C0041671,Attention Deficit Disorder
C0020175,hungry
C0020175,Hunger
C1443060,Feeling abnormal
C0011551,zombies
C0011551,Depersonalization
C0234376,tremor
C0234376,Action Tremor
C0522224,paralyzed
C0522224,Paralysed
C0917801,I'm wide awake once again after 1:00 a.m
C0917801,Sleeplessness
C0015672,fatigue
C0015672,Fatigue
C0085633,Mood swings
C0043094,Weight Gain
C0002957,angry
C0002957,Anger
C0027497,nausea
C0027497,Nausea
C1443060,feeling like death
C1443060,Feeling abnormal
C0043012,Wakefulness
C0851444,allergic
C0851444,Allergic conditions
C0003467,anxious
C0003467,Anxiety
C0235169,got me to the ceiling
C0235169,Excitability
C0455769,got me to the ceiling
C0455769,Energy increased
C0004096,gulp air randomly
C0004096,Asthma
C0037320,nightmares
C0037320,Night Terrors
C0018524,feeling like the same day
C0018524,Hallucinations
C0855242,Disturbance in sexual arousal
C0029445,bone loss
C0029445,Bone necrosis
C0034634,Rage
C0034634,Rage
C0728899,jammed
C0728899,Intoxication
C0012833,head spinning a little
C0012833,Dizziness
C0087169,withdrawal
C0087169,Withdrawal Symptoms
C0917801,insomnia
C0917801,Sleeplessness
C0086769,panic attack
C0086769,Panic Attacks
C0220870,faint
C0220870,Lightheadedness
C0344315,bummed
C0344315,Depressed mood
C0018790,heart attack
C0018790,Cardiac Arrest
C0232461,appetite on 10
C0232461,Increased appetite (finding)
C0220870,dizzy
C0220870,Lightheadedness
C0235240,heart beat for being too strong
C0235240,Pounding heart
C2830004,i can't even stay awake
C2830004,Somnolence
C0424295,uncontrollable
C0424295,Hyperactive behavior
C0700590,make me sweat more
C0700590,Increased sweating
C0455769,jacked up
C0455769,Energy increased
C0043094,weight gain
C0043094,Weight Gain
C0026858,pain
C0026858,Musculoskeletal Pain
C0917801,Sleeplessness
C0010709,cysts
C0010709,Cyst
C0015468,Atypical facial pain
C0015468,Facial Pain
C1386135,just want to finally be happy
C1386135,Acute depression
C0855242,kills libido
C0855242,Disturbance in sexual arousal
C0393761,insomniac
C0393761,Middle insomnia
C2830004,groggy
C2830004,Somnolence
C0015672,tired
C0015672,Fatigue
C0018790,heart attack
C0018790,Cardiac Arrest
C0233715,Speech impairment
C0011551,makes me a different person
C0011551,Depersonalization
C0027497,nausea
C0027497,Nausea
C0235165,manic episode
C0235165,Mania acute
C0278061,bazaar thoughts
C0278061,Abnormal mental state
C0027497,nauseous
C0027497,Nausea
C0013144,drowsy
C0013144,Drowsiness
C2830004,So sleepy
C2830004,Somnolence
C0037763,brain zaps
C0037763,Spasm
C0234458,wicked weird dreams
C0234458,Abnormal dreams
C0042571,vertigo
C0042571,Vertigo
C0235234,dry
C0235234,Dry throat
C0855242,kills libido
C0855242,Disturbance in sexual arousal
C0235169,meinmy feelings
C0235169,Excitability
C0344315,depressed
C0344315,Depressed mood
C0013146,30-day adderall supply lasts me like a week
C0013146,Drug abuse
C0013146,double downed
C0013146,Drug abuse
C0021400,plague
C0021400,Influenza
C0424295,walking up and down broad
C0424295,Hyperactive behavior
C0043094,gained 7 lbs
C0043094,Weight Gain
C0086769,a literal panic attack
C0086769,Panic Attacks
C1456784,paranoid
C1456784,Paranoia
C0234369,shaking
C0234369,Trembling
C0087169,withdrawal symptoms
C0087169,Withdrawal Symptoms
C0028643,can't feel limbs
C0028643,Numbness
C0424295,hyper
C0424295,Hyperactive behavior
C0000737,nervous gut pain
C0000737,Abdominal Pain
C0235196,Not sure Im going to be willing to go for a week feeling like this
C0235196,Suicidal tendency
C0039070,Syncope
C0042963,vomity
C0042963,Vomiting
C0236788,BP-2
C0236788,Bipolar II disorder
C0596170,Binge eating disorder
C0235169,to the ceiling
C0235169,Excitability
C0235198,inattentive
C0235198,Unable to concentrate
C0270458,depression
C0270458,Psychotic depression
C0013144,sleepy
C0013144,Drowsiness
C0853619,My knee has gotten all swollen
C0853619,Local swelling
C1443060,Feeling abnormal
C0239725,painful erection
C0239725,Genital pain
C0232461,eat like the literal beast
C0232461,Increased appetite (finding)
C0043094,gaining weight
C0043094,Weight Gain
C0020604,consistently unwell
C0020604,Hypochondriasis
C0853348,bug bites
C0853348,Arthropod bite
C0043094,gain weight
C0043094,Weight Gain
C0728899,fucked up
C0728899,Intoxication
C0087169,Withdrawal Symptoms
C0233479,feeling better
C0233479,Elevated mood
C0038661,suicidal acts
C0038661,Suicide
C0338831,got me like WHENS THE NEXT TEST ILL GO AHEAD AND TAKE IT NOW
C0338831,Manic
C1510472,reliant
C1510472,Drug Dependence
C0041671,attention deficit disorder
C0041671,Attention Deficit Disorder
C0027497,nauseous
C0027497,Nausea
C0005586,bi polar
C0005586,Bipolar Disorder
C0008031,hurt
C0008031,Chest Pain
C0037383,sneezing
C0037383,Sneezing
C0235309,Stomach messed up
C0235309,Upset stomach
C0016512,Foot pain
C0012833,lightheaded
C0012833,Dizziness
C0232462,eaten less
C0232462,Decrease in appetite
C0012833,dizzy
C0012833,Dizziness
C0233488,feeling awful
C0233488,Feeling despair
C2830004,tired
C2830004,Somnolence
C0338908,depression/anxiety
C0338908,Anxiety depression
C0030252,heart race 100mph
C0030252,Palpitations
C0851444,allergic reaction
C0851444,Allergic conditions
C0085633,mood swings
C0085633,Mood swings
C2830004,falling asleep
C2830004,Somnolence
C0087169,withdrawal
C0087169,Withdrawal Symptoms
C0085633,mood swings
C0085633,Mood swings
C0278061,trippin
C0278061,Abnormal mental state
C2939186,making me insane
C2939186,Disturbance in mood
C0041671,inattentive
C0041671,Attention Deficit Disorder
C0220870,dizziness
C0220870,Lightheadedness
C0917801,can't even keep you awake
C0917801,Sleeplessness
C2830004,#sleep
C2830004,Somnolence
C0042109,Urticaria
C0020175,hungry
C0020175,Hunger
C0234458,#crazy
C0234458,Abnormal dreams
C0728899,trippin
C0728899,Intoxication
C0427008,stiffness
C0427008,Stiffness
C0600104,Obsessive compulsive behavior
C0553721,reduced sweating
C0553721,Sweating decreased
C0011570,depressive emotins and thoughts
C0011570,Mental Depression
C1760428,suicidal acts
C1760428,Suicidal behaviour
C0039070,faint
C0039070,Syncope
C2939186,FUCKED UP feelings
C2939186,Disturbance in mood
C0011581,need prozac
C0011581,Depressive disorder
C0022107,Irritable Mood
C0030193,pain
C0030193,Pain
C0235169,to the ceiling
C0235169,Excitability
C0085633,odramatic
C0085633,Mood swings
C0344320,lucid dreamer
C0344320,Vivid dreams
C0151602,moon face
C0151602,Swelling face
C0233415,distracted
C0233415,Distractibility
C0034634,rage
C0034634,Rage
C2830004,Somnolence
C2939186,Disturbance in mood
C2830004,tired
C2830004,Somnolence
C0455769,got me to the ceiling
C0455769,Energy increased
C0455769,wide awake
C0455769,Energy increased
C0151763,Liver damage
C0027497,nauseous
C0027497,Nausea
C0541799,mouth taste terrible
C0541799,Bad taste
C0549209,jitters
C0549209,Feeling jittery
C0001807,threatened to hurt me
C0001807,Aggressive behavior
C0917801,trying to get tired
C0917801,Sleeplessness
C1386135,hated my life
C1386135,Acute depression
C0040822,tremor
C0040822,Tremor
C0012833,dizzy
C0012833,Dizziness
C0043012,wide awake
C0043012,Wakefulness
C0455769,got me to the ceiling
C0455769,Energy increased
C0235196,suicidal thoughts
C0235196,Suicidal tendency
C0278079,Dependence psychological
C0152031,Joint was super swollen
C0152031,Joint swelling
C0542476,forgot
C0542476,Forgetfulness
C0392674,sleep deprivation
C0392674,Exhaustion
C0037317,Sleep disturbances
C2830004,sleepy
C2830004,Somnolence
C0235169,got me to the ceiling
C0235169,Excitability
C0497364,pimples
C0497364,Localized rash
C0026821,cramps
C0026821,Muscle Cramp
C0013144,drowsy
C0013144,Drowsiness
C0043096,weight loss
C0043096,Body Weight decreased
C0086132,empty/hopeless
C0086132,Depressive Symptoms
C0034634,makes my road rage terrible
C0034634,Rage
C2830004,tired
C2830004,Somnolence
C0034634,irrational rage
C0034634,Rage
C0028643,numb
C0028643,Numbness
C0424295,hyper
C0424295,Hyperactive behavior
C0087169,Withdrawal Symptoms
C0851444,allergic reaction
C0851444,Allergic conditions
C0022107,grumpy
C0022107,Irritable Mood
C0041657,Unconscious State
C0085633,mood changes
C0085633,Mood swings
C0043094,gain 10kg
C0043094,Weight Gain
C0393761,insomnia
C0393761,Middle insomnia
C2830004,fatigue
C2830004,Somnolence
C0012833,woozy
C0012833,Dizziness
C0409497,"knee cap is moving around, causing pain"
C0409497,Joint injury
C0022107,sour mood
C0022107,Irritable Mood
C0455769,energy
C0455769,Energy increased
C0043094,Weight Gain
C0037317,sleep
C0037317,Sleep disturbances
C0232461,munchies
C0232461,Increased appetite (finding)
C0013144,sleepy
C0013144,Drowsiness
C0013144,drowsy
C0013144,Drowsiness
C0016658,top of my femur got fractured
C0016658,Fracture
C0338908,me feel disgusting
C0338908,Anxiety depression
C0043012,still haven't slept
C0043012,Wakefulness
C0015672,chronic fatigue
C0015672,Fatigue
C0043094,If I could lose the 30lbs that I gained from prednisone
C0043094,Weight Gain
C0087169,coming down
C0087169,Withdrawal Symptoms
C0022107,highly irritated
C0022107,Irritable Mood
C0036973,hives
C0036973,Shivering
C0233523,need space &amp; to be alone
C0233523,Antisocial behavior
C0278061,Abnormal mental state
C0033975,crazy
C0033975,Psychotic Disorders
C0917801,insomnia
C0917801,Sleeplessness
C0039971,thirsty as fuck
C0039971,Thirst
C0455769,got me to the ceiling
C0455769,Energy increased
C0232461,appetite way up
C0232461,Increased appetite (finding)
C0020175,hungry
C0020175,Hunger
C1456784,paranoid
C1456784,Paranoia
C0038999,swelling
C0038999,Swelling
C0917801,want to sleep
C0917801,Sleeplessness
C0087169,Withdrawal Symptoms
C0233459,emotional fasting
C0233459,Emotional disorder
C0043094,ballooning
C0043094,Weight Gain
C0270458,I am so sick and angry
C0270458,Psychotic depression
C2939186,got me in my feelings
C2939186,Disturbance in mood
C0162820,allergic
C0162820,"Dermatitis, Allergic Contact"
C0022107,cranky
C0022107,Irritable Mood
C0151825,bone pain
C0151825,Bone pain
C0344315,dragging myself through the day
C0344315,Depressed mood
C3665386,messing with my vision
C3665386,Abnormal vision
C0013144,drowsy
C0013144,Drowsiness
C0003467,anxiety
C0003467,Anxiety
C0037383,sneezing
C0037383,Sneezing
C0030193,hurting so bad
C0030193,Pain
C0011551,disassociation
C0011551,Depersonalization
C0235146,high
C0235146,Euphoric mood
C0151810,immune
C0151810,Lack of drug effect
C0003467,anxiety
C0003467,Anxiety
C0917801,alertness and trouble sleeping
C0917801,Sleeplessness
C0235169,in my feelings
C0235169,Excitability
C0042109,hives
C0042109,Urticaria
C0004936,insane
C0004936,Mental disorders
C0497365,rash
C0497365,Rash generalised
C0522224,entire arm feel paralyzed
C0522224,Paralysed
C0003873,RHEUMATOID ARTHRITIS
C0003873,Rheumatoid Arthritis
C0043096,lost so much weight
C0043096,Body Weight decreased
C0541854,zombie like state
C0541854,Daytime sleepiness
C0042963,puking everywhere
C0042963,Vomiting
C0005586,bipolar
C0005586,Bipolar Disorder
C0424295,type to much
C0424295,Hyperactive behavior
C0497364,the rash
C0497364,Localized rash
C0151810,become immune
C0151810,Lack of drug effect
C0043012,100% awake all the time
C0043012,Wakefulness
C0003467,anxiety
C0003467,Anxiety
C0424091,careless
C0424091,Decreased interest
C0013146,hit me too hard
C0013146,Drug abuse
C1510472,Drug Dependence
C0028643,numbness
